index,q_full,q_index,item_text,index_item2
152,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Menningargeirinn.hefur.átt.sterkari.kvenfyrirmyndir..,X18,Menningargeirinn hefur átt sterkari kvenfyrirmyndir,X18Menningargeirinn hefur átt sterkari kvenfyrirmyndir
153,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Stjórnunarstíll.kvenna.hentar.menningargeiranum.betur..,X18,Stjórnunarstíll kvenna hentar menningargeiranum betur,X18Stjórnunarstíll kvenna hentar menningargeiranum betur
154,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Launin.eru.lægri.í.menningargeiranum..,X18,Launin eru lægri í menningargeiranum,X18Launin eru lægri í menningargeiranum
155,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Menningarstjórnendur.hafa.minni.völd.en.aðrir.stjórnendur..,X18,Menningarstjórnendur hafa minni völd en aðrir stjórnendur,X18Menningarstjórnendur hafa minni völd en aðrir stjórnendur
156,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Flestar.menningarstofnanir.eru.sveigjanlegri.hvað.varðar.fjölskyldulíf..,X18,Flestar menningarstofnanir eru sveigjanlegri hvað varðar fjölskyldulíf,X18Flestar menningarstofnanir eru sveigjanlegri hvað varðar fjölskyldulíf
157,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Það.þarf.margra.ára.hark.til.að.afla.sér.viðeigandi.reynslu.til.menningarstjórnunar.,X18,Það þarf margra ára hark til að afla sér viðeigandi reynslu til menningarstjórnunar,X18Það þarf margra ára hark til að afla sér viðeigandi reynslu til menningarstjórnunar
158,X18..Hversu.sammála.eða.ósammála.ertu.eftirfarandi.fullyrðingum.um.ástæður.þess.að.mun.fleiri.konur.eru.stjórnendur.í.menningargeiranum.heldur.en.í.viðskiptageiranum...Merkið.við.einn.valmöguleika.í.hverri.línu...Konur.eru.líklegri.til.að.leggja.á.sig.margra.ára.hark.og.afla.sér.viðeigandi.reynslu..,X18,Konur eru líklegri til að leggja á sig margra ára hark og afla sér viðeigandi reynslu,X18Konur eru líklegri til að leggja á sig margra ára hark og afla sér viðeigandi reynslu
159,X18a..Er.eitthvað.sem.þú.vilt.bæta.við.svör.þín.í.spurningum.13.17.hér.að.ofan.,X18a,Er eitthvað sem þú vilt bæta við svör þín í spurningum 13 17 hér að ofan,X18aEr eitthvað sem þú vilt bæta við svör þín í spurningum 13 17 hér að ofan
160,X19..Hversu.lengi.hefurðu.starfað.á.núverandi.stað..Merkið.við.einn.valkost.,X19,Hversu lengi hefurðu starfað á núverandi stað Merkið við einn valkost,X19Hversu lengi hefurðu starfað á núverandi stað Merkið við einn valkost
161,X20..Hafðir.þú.áður.unnið.störf.tengd.menningarstjórnun..Merkið.við.einn.valkost.,X20,Hafðir þú áður unnið störf tengd menningarstjórnun Merkið við einn valkost,X20Hafðir þú áður unnið störf tengd menningarstjórnun Merkið við einn valkost
162,X21..Hvert.er.starfshlutfall.þitt.á.núverandi.vinnustað..Merkið.við.einn.valkost.,X21,Hvert er starfshlutfall þitt á núverandi vinnustað Merkið við einn valkost,X21Hvert er starfshlutfall þitt á núverandi vinnustað Merkið við einn valkost
163,X22..Hvað.starfa.margir.fastráðnir.í.fullu.starfi.á.þínum.vinnustað..Merkið.við.einn.valkost..,X22,Hvað starfa margir fastráðnir í fullu starfi á þínum vinnustað Merkið við einn valkost,X22Hvað starfa margir fastráðnir í fullu starfi á þínum vinnustað Merkið við einn valkost
164,X23..Hvað.starfa.margir.fastráðnir.í.hlutastarfi.á.þínum.vinnustað..Merkið.við.einn.valkost,X23,Hvað starfa margir fastráðnir í hlutastarfi á þínum vinnustað Merkið við einn valkost,X23Hvað starfa margir fastráðnir í hlutastarfi á þínum vinnustað Merkið við einn valkost
165,X24..Hve.margir.koma.reglulega.að.starfseminni.sem.verktakar.lausráðnir..Merkið.við.einn.valkost.,X24,Hve margir koma reglulega að starfseminni sem verktakar lausráðnir Merkið við einn valkost,X24Hve margir koma reglulega að starfseminni sem verktakar lausráðnir Merkið við einn valkost
166,X25..Hefurðu.forráð.yfir.öðru.fastráðnu.starfsfólki..Merkið.við.einn.valkost.,X25,Hefurðu forráð yfir öðru fastráðnu starfsfólki Merkið við einn valkost,X25Hefurðu forráð yfir öðru fastráðnu starfsfólki Merkið við einn valkost
167,X26..Hvað.af.eftirfarandi.lýsir.best.skipulagsheildinni.sem.þú.starfar.hjá..Merkið.við.einn.valkost..,X26,Hvað af eftirfarandi lýsir best skipulagsheildinni sem þú starfar hjá Merkið við einn valkost,X26Hvað af eftirfarandi lýsir best skipulagsheildinni sem þú starfar hjá Merkið við einn valkost
168,X26..Hvað.af.eftirfarandi.lýsir.best.skipulagsheildinni.sem.þú.starfar.hjá..Merkið.við.einn.valkost....Annað.,X26,Hvað af eftirfarandi lýsir best skipulagsheildinni sem þú starfar hjá Merkið við einn valkost Annað,X26Hvað af eftirfarandi lýsir best skipulagsheildinni sem þú starfar hjá Merkið við einn valkost Annað
169,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.er.á.föstum.fjárlögum.,X27,Starfsemin er á föstum fjárlögum,X27Starfsemin er á föstum fjárlögum
170,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.hefur.þjónustusamning.við.ríkið.,X27,Starfsemin hefur þjónustusamning við ríkið,X27Starfsemin hefur þjónustusamning við ríkið
171,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.reglulega.ríkisstyrki.,X27,Starfsemin fær reglulega ríkisstyrki,X27Starfsemin fær reglulega ríkisstyrki
172,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.öðru.hverju.ríkisstyrki.,X27,Starfsemin fær öðru hverju ríkisstyrki,X27Starfsemin fær öðru hverju ríkisstyrki
173,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.enga.styrki.frá.ríkinu.,X27,Starfsemin fær enga styrki frá ríkinu,X27Starfsemin fær enga styrki frá ríkinu
174,X27..Er.starfsemin.styrkt.af.ríki..Merkið.við.þá.valkosti.sem.við.eiga...Veit.ekki...vil.ekki.svara.,X27,Veit ekki vil ekki svara,X27Veit ekki vil ekki svara
175,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.er.á.föstum.styrkjum.frá.sveitarfélagi...sveitarfélögum.,X28,Starfsemin er á föstum styrkjum frá sveitarfélagi sveitarfélögum,X28Starfsemin er á föstum styrkjum frá sveitarfélagi sveitarfélögum
176,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.hefur.þjónustusamning.við.sveitarfélag...sveitarfélög.,X28,Starfsemin hefur þjónustusamning við sveitarfélag sveitarfélög,X28Starfsemin hefur þjónustusamning við sveitarfélag sveitarfélög
177,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.reglulega.styrki.frá.sveitarfélagi...sveitarfélögum.,X28,Starfsemin fær reglulega styrki frá sveitarfélagi sveitarfélögum,X28Starfsemin fær reglulega styrki frá sveitarfélagi sveitarfélögum
178,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.öðru.hverju.styrki.frá.sveitarfélagi...sveitarfélögum.,X28,Starfsemin fær öðru hverju styrki frá sveitarfélagi sveitarfélögum,X28Starfsemin fær öðru hverju styrki frá sveitarfélagi sveitarfélögum
179,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.fær.enga.styrki.frá.sveitarfélagi...sveitarfélögum.,X28,Starfsemin fær enga styrki frá sveitarfélagi sveitarfélögum,X28Starfsemin fær enga styrki frá sveitarfélagi sveitarfélögum
180,X28..Er.starfsemin.styrkt.af.sveitarfélagi..sveitarfélögum..Merkið.við.þá.valkosti.sem.við.eiga...Veit.ekki...vil.ekki.svara.,X28,Veit ekki vil ekki svara,X28Veit ekki vil ekki svara
181,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.er.á.föstum.styrkjum.einkaaðila.,X29,Starfsemin er á föstum styrkjum einkaaðila,X29Starfsemin er á föstum styrkjum einkaaðila
182,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga....Starfsemin.hefur.þjónustusamning.við.einkaaðila.,X29,Starfsemin hefur þjónustusamning við einkaaðila,X29Starfsemin hefur þjónustusamning við einkaaðila
183,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.hlýtur.reglulega.styrki.frá.einkaaðilum..,X29,Starfsemin hlýtur reglulega styrki frá einkaaðilum,X29Starfsemin hlýtur reglulega styrki frá einkaaðilum
184,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.hlýtur.öðru.hverju.styrki.frá.einkaaðilum.,X29,Starfsemin hlýtur öðru hverju styrki frá einkaaðilum,X29Starfsemin hlýtur öðru hverju styrki frá einkaaðilum
185,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga...Starfsemin.hlýtur.enga.styrki.frá.einkaaðilum.,X29,Starfsemin hlýtur enga styrki frá einkaaðilum,X29Starfsemin hlýtur enga styrki frá einkaaðilum
186,X29..Er.starfsemin.styrkt.af.einkaaðila..Merkið.við.þá.valkosti.sem.við.eiga...Veit.ekki...vil.ekki.svara.,X29,Veit ekki vil ekki svara,X29Veit ekki vil ekki svara
187,X30..Hversu.stór.hluti.af.heildarrekstrarfé.eru.aðgangseyrir.vörusala..Merkið.við.einn.valkost.,X30,Hversu stór hluti af heildarrekstrarfé eru aðgangseyrir vörusala?,X30Hversu stór hluti af heildarrekstrarfé eru aðgangseyrir vörusala?
188,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Fyrir.heimafólk..,X31,Fyrir heimafólk,X31Fyrir heimafólk
189,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Fyrir.allt.landið.,X31,Fyrir allt landið,X31Fyrir allt landið
190,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Fyrir.erlendan.markað.,X31,Fyrir erlendan markað,X31Fyrir erlendan markað
191,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Fyrir.íslenska.ferðamenn.,X31,Fyrir íslenska ferðamenn,X31Fyrir íslenska ferðamenn
192,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Fyrir.erlenda.ferðamenn.,X31,Fyrir erlenda ferðamenn,X31Fyrir erlenda ferðamenn
193,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Á.ekki.við.,X31,Á ekki við,X31Á ekki við
194,X31..Fyrir.hverja.er.starfsemin.hugsuð...Merkið.við.þá.valkosti.sem.við.eiga...Veit.ekki...vil.ekki.svara.,X31,Veit ekki vil ekki svara,X31Veit ekki vil ekki svara
195,X32..Reiðir.starfsemin.sig.á.sérhæfða.eða.dýra.innviði..t.d..húsnæði.eða.tækni..Merkið.við.einn.valkost..,X32,Reiðir starfsemin sig á sérhæfða eða dýra innviði t d húsnæði eða tækni?,X32Reiðir starfsemin sig á sérhæfða eða dýra innviði t d húsnæði eða tækni?
196,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Listrænn.stjórnandi.,X33,Listrænn stjórnandi,X33Listrænn stjórnandi
197,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Markaðs....kynningarstjóri.,X33,Markaðs kynningarstjóri,X33Markaðs kynningarstjóri
198,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Fjármálastjóri.,X33,Fjármálastjóri,X33Fjármálastjóri
199,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Forstöðumaður..,X33,Forstöðumaður,X33Forstöðumaður
200,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Deildarstjóri.,X33,Deildarstjóri,X33Deildarstjóri
201,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Verkefnastjóri.,X33,Verkefnastjóri,X33Verkefnastjóri
202,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Framkvæmdastjóri.,X33,Framkvæmdastjóri,X33Framkvæmdastjóri
203,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Vaktstjóri.,X33,Vaktstjóri,X33Vaktstjóri
204,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Sýningastjóri.,X33,Sýningastjóri,X33Sýningastjóri
205,X33..Hvaða.starfstitill.lýsir.best.starfi.þínu..Merkið.við.þá.valkosti.sem.við.eiga..Annað.,X33,Annað,X33Annað
206,X34..Skilgreinir.þú.starf.þitt.sem.menningarstjórnun..Merkið.við.einn.valkost.,X34,Skilgreinir þú starf þitt sem menningarstjórnun?,X34Skilgreinir þú starf þitt sem menningarstjórnun?
207,X35..Hversu.mikið.eða.lítið.eiga.eftirfarandi.skilgreiningar.við.hugtakið.menningarstjórnandi..Merkið.við.einn.valmöguleika.í.hverri.línu...Æðsti.stjórnandi.listastofnunar..t.d..leikhússtjóri..,X35,Æðsti stjórnandi listastofnunar t d leikhússtjóri,X35Æðsti stjórnandi listastofnunar t d leikhússtjóri
208,X35..Hversu.mikið.eða.lítið.eiga.eftirfarandi.skilgreiningar.við.hugtakið.menningarstjórnandi..Merkið.við.einn.valmöguleika.í.hverri.línu...Æðsti.stjórnandi.menningarstofnunar..t.d..bókasafnsstjóri..,X35,Æðsti stjórnandi menningarstofnunar t d bókasafnsstjóri,X35Æðsti stjórnandi menningarstofnunar t d bókasafnsstjóri
209,X35..Hversu.mikið.eða.lítið.eiga.eftirfarandi.skilgreiningar.við.hugtakið.menningarstjórnandi..Merkið.við.einn.valmöguleika.í.hverri.línu...Einhver.sem.ber.ábyrgð.á.mikilvægum.hluta.af.rekstri.sem.tengist.menningu..t.d..menningarfulltrúi.sveitarfélags.eða.fjármálastjóri.sviðslistastofnunar..,X35,Einhver sem ber ábyrgð á mikilvægum hluta af rekstri sem tengist menningu t d menningarfulltrúi sveitarfélags eða fjármálastjóri sviðslistastofnunar,X35Einhver sem ber ábyrgð á mikilvægum hluta af rekstri sem tengist menningu t d menningarfulltrúi sveitarfélags eða fjármálastjóri sviðslistastofnunar
210,X35..Hversu.mikið.eða.lítið.eiga.eftirfarandi.skilgreiningar.við.hugtakið.menningarstjórnandi..Merkið.við.einn.valmöguleika.í.hverri.línu...Einhver.sem.hefur.mannaforráð.í.menningarstofnun..t.d..sviðstjóri.í.bókaútgáfu..,X35,Einhver sem hefur mannaforráð í menningarstofnun t d sviðstjóri í bókaútgáfu,X35Einhver sem hefur mannaforráð í menningarstofnun t d sviðstjóri í bókaútgáfu
211,X35..Hversu.mikið.eða.lítið.eiga.eftirfarandi.skilgreiningar.við.hugtakið.menningarstjórnandi..Merkið.við.einn.valmöguleika.í.hverri.línu...Einhver.sem.hefur.menntað.sig.í.menningarstjórnun..,X35,Einhver sem hefur menntað sig í menningarstjórnun,X35Einhver sem hefur menntað sig í menningarstjórnun
212,X36..Aldur,X36,Aldur,X36Aldur
213,X37..Kyn,X37,Kyn,X37Kyn
214,X38..Hvað.lýsir.þjóðerni.þínu.best.,X38,Hvað lýsir þjóðerni þínu best,X38Hvað lýsir þjóðerni þínu best
215,X39..Hver.er.formleg.menntun.þín..Vinsamlegast.merktið.við.hæstu.prófgráðu.,X39,Hver er formleg menntun þín Vinsamlegast merktið við hæstu prófgráðu,X39Hver er formleg menntun þín Vinsamlegast merktið við hæstu prófgráðu
216,X39..Hver.er.formleg.menntun.þín..Vinsamlegast.merktið.við.hæstu.prófgráðu...Annað.,X39,Hver er formleg menntun þín Vinsamlegast merktið við hæstu prófgráðu Annað,X39Hver er formleg menntun þín Vinsamlegast merktið við hæstu prófgráðu Annað
217,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Viðskiptafræði.,X39a,Viðskiptafræði,X39aViðskiptafræði
218,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Hagfræði.,X39a,Hagfræði,X39aHagfræði
219,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Menningarstjórnun.,X39a,Menningarstjórnun,X39aMenningarstjórnun
220,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Viðburðastjórnun.,X39a,Viðburðastjórnun,X39aViðburðastjórnun
221,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Verkefnastjórnun.,X39a,Verkefnastjórnun,X39aVerkefnastjórnun
222,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Opinber.stjórnsýsla.,X39a,Opinber stjórnsýsla,X39aOpinber stjórnsýsla
223,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Kennslufræði...uppeldis..og.menntunarfræði...kennaranám.,X39a,Kennslufræði uppeldis og menntunarfræði kennaranám,X39aKennslufræði uppeldis og menntunarfræði kennaranám
224,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Sagnfræði.,X39a,Sagnfræði,X39aSagnfræði
225,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Myndlist.,X39a,Myndlist,X39aMyndlist
226,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Listasaga.,X39a,Listasaga,X39aListasaga
227,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Leiklist.,X39a,Leiklist,X39aLeiklist
228,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Tónlist.,X39a,Tónlist,X39aTónlist
229,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Hönnun.,X39a,Hönnun,X39aHönnun
230,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Á.ekki.við.,X39a,Á ekki við,X39aÁ ekki við
231,X39a..Ef.við.á..hvaða.grunnháskólagráðu.ertu.með..BA...diplóma.eða.sambærilegt...Vinsamlega.merkið.við.eins.marga.valkosti.og.við.á...Annað.,X39a,Annað,X39aAnnað
232,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Meistaranám.í.viðskiptafræði..MA...MS.eða.sambærilegt..,X39b,Meistaranám í viðskiptafræði MA MS eða sambærilegt,X39bMeistaranám í viðskiptafræði MA MS eða sambærilegt
233,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Meistaranám.í.menningarstjórnun..MA...MCM.eða.sambærilegt..,X39b,Meistaranám í menningarstjórnun MA MCM eða sambærilegt,X39bMeistaranám í menningarstjórnun MA MCM eða sambærilegt
234,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..MBA.í.viðskiptafræði.,X39b,MBA í viðskiptafræði,X39bMBA í viðskiptafræði
235,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..MPA.í.opinberri.stjórnsýslu.,X39b,MPA í opinberri stjórnsýslu,X39bMPA í opinberri stjórnsýslu
236,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..MPM.í.verkefnastjórnun.,X39b,MPM í verkefnastjórnun,X39bMPM í verkefnastjórnun
237,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..MA.í.safnafræði.,X39b,MA í safnafræði,X39bMA í safnafræði
238,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Meistaranám.í.miðlun.,X39b,Meistaranám í miðlun,X39bMeistaranám í miðlun
239,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Meistaranám.í.viðburðastjórnun.,X39b,Meistaranám í viðburðastjórnun,X39bMeistaranám í viðburðastjórnun
240,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Á.ekki.við.,X39b,Á ekki við,X39bÁ ekki við
241,X39b..Ef.við.á..hvaða.framhaldsháskólagráðu.ertu.með..meistaranám.eða.sambærilegt...Merkið.við.þá.valkosti.sem.við.eiga..Annað.,X39b,Annað,X39bAnnað
242,X40..Hefurðu.lært.stjórnun..,X40,Hefurðu lært stjórnun,X40Hefurðu lært stjórnun
243,X41..Ef.þú.hefur.lært.stjórnun..hvers.konar.menntun.er..um.að.ræða.og.hvar.fór.hún.fram.,X41,Ef þú hefur lært stjórnun hvers konar menntun er um að ræða og hvar fór hún fram,X41Ef þú hefur lært stjórnun hvers konar menntun er um að ræða og hvar fór hún fram
244,X42..Ef.þú.hefur.ekki.lært.stjórnun..stefnirðu.á.nám.í.stjórnun..Merkið.við.einn.valkost,X42,Ef þú hefur ekki lært stjórnun stefnirðu á nám í stjórnun Merkið við einn valkost,X42Ef þú hefur ekki lært stjórnun stefnirðu á nám í stjórnun Merkið við einn valkost
245,X43..Er.eitthvað.sem.þú.vilt.koma.á.framfæri.að.lokum.,X43,Er eitthvað sem þú vilt koma á framfæri að lokum,X43Er eitthvað sem þú vilt koma á framfæri að lokum
